sim,h,impact,cumulative
Sim8,1,0.9149766048346363,0.9149766048346363
Sim8,2,0.5695108835212311,0.7422437441779337
Sim8,3,0.6120780208214277,0.698855169725765
Sim8,4,0.5495537888875435,0.6615298245162097
Sim8,5,0.505039075377173,0.6302316746884022
Sim8,6,0.4376726958706076,0.5981385115521032
Sim8,7,0.38939098734777944,0.5683174366657712
Sim8,8,0.34315918524585504,0.5401726552382817
Sim8,9,0.2924520840599496,0.5126481473295782
Sim8,10,0.24779783953253873,0.48616311654987426
Sim8,11,0.20708380770996232,0.46079227029170045
Sim8,12,0.16953062626884227,0.436520466623129
Sim8,13,0.13817491520168146,0.4135708088214792
Sim8,14,0.11091929485096488,0.391952843537871
Sim8,15,0.08843443609927329,0.3717182830419645
Sim8,16,0.07023704908521627,0.35287570591966777
Sim8,17,0.056535063191268865,0.33544390340623254
Sim8,18,0.04639808421050013,0.31938580233980296
Sim8,19,0.03928841716203966,0.3046438346988681
Sim8,20,0.03487790882549665,0.29115553840519953
Sim9,1,0.9149766048346363,0.9149766048346363
Sim9,2,0.5761841981525214,0.7455804014935788
Sim9,3,0.6241697519256615,0.7051101849709397
Sim9,4,0.5699414280775265,0.6713179957475864
Sim9,5,0.5338559150248227,0.6438255796030337
Sim9,6,0.4757262144579562,0.6158090187455207
Sim9,7,0.4369031343116819,0.5902510352549722
Sim9,8,0.39906093382061475,0.5663522725756777
Sim9,9,0.3568760022616851,0.5430771314296785
Sim9,10,0.3142472476292821,0.5201941430496388
Sim9,11,0.27394445841233006,0.4978078080826108
Sim9,12,0.2348884638183462,0.4758978627272555
Sim9,13,0.2004900909718815,0.45471264951530366
Sim9,14,0.16923263054267815,0.4343212195886876
Sim9,15,0.14189831006307424,0.4148263589536467
Sim9,16,0.11878106224290445,0.3963235279092253
Sim9,17,0.100018457169933,0.37889381786573756
Sim9,18,0.08484668843700992,0.36255786623080827
Sim9,19,0.072785684879138,0.34730669879124665
Sim9,20,0.06356123591380278,0.33311942564737446
Sim10,1,0.9149766048346363,0.9149766048346363
Sim10,2,0.5695108835212311,0.7422437441779337
Sim10,3,0.6120780208214277,0.698855169725765
Sim10,4,0.5495537888875435,0.6615298245162097
Sim10,5,0.505039075377173,0.6302316746884022
Sim10,6,0.4376726958706076,0.5981385115521032
Sim10,7,0.38939098734777944,0.5683174366657712
Sim10,8,0.34315918524585504,0.5401726552382817
Sim10,9,,0.48099610089645234
Sim10,10,,0.45343363213598925
Sim10,11,,0.41626799268229703
Sim10,12,,0.381073108878609
Sim10,13,,0.34646614744514725
Sim10,14,,0.3153771705626336
Sim10,15,,0.28637019115177226
Sim10,16,,0.2598070084942918
Sim10,17,,0.23668233061410343
Sim10,18,,0.21681369995274472
Sim10,19,,0.200163290079466
Sim10,20,,0.18673390919755137
