sim,variable,unit,quarter,h,diff
Sim1,GDP,%,0006Q1,1,0.5959560678553402
Sim1,GDP,%,0006Q2,2,0.49563761839948484
Sim1,GDP,%,0006Q3,3,0.4470034156108085
Sim1,GDP,%,0006Q4,4,0.3914672848769527
Sim1,GDP,%,0007Q1,5,0.3141756943015821
Sim1,GDP,%,0007Q2,6,0.2472941188053568
Sim1,GDP,%,0007Q3,7,0.20216236873595506
Sim1,GDP,%,0007Q4,8,0.15877383244738041
Sim1,GDP,%,0008Q1,9,0.1252707279215457
Sim1,GDP,%,0008Q2,10,0.09800846426979604
Sim1,GDP,%,0008Q3,11,0.07669276648729806
Sim1,GDP,%,0008Q4,12,0.05838217535031731
Sim1,GDP,%,0009Q1,13,0.04333060405754452
Sim1,GDP,%,0009Q2,14,0.030944069503192395
Sim1,GDP,%,0009Q3,15,0.020987633689117047
Sim1,GDP,%,0009Q4,16,0.013249895132901202
Sim1,GDP,%,0010Q1,17,0.007677379193012257
Sim1,GDP,%,0010Q2,18,0.005153735412164906
Sim1,GDP,%,0010Q3,19,0.004942680103297903
Sim1,GDP,%,0010Q4,20,0.0066821253276998505
Sim1,CP,%,0006Q1,1,0.0
Sim1,CP,%,0006Q2,2,-0.011147451909749861
Sim1,CP,%,0006Q3,3,-0.0074541598553139465
Sim1,CP,%,0006Q4,4,-0.01344249438156453
Sim1,CP,%,0007Q1,5,-0.024719748674499442
Sim1,CP,%,0007Q2,6,-0.039868223879807374
Sim1,CP,%,0007Q3,7,-0.06141835270285867
Sim1,CP,%,0007Q4,8,-0.08909304056138012
Sim1,CP,%,0008Q1,9,-0.12054312750358065
Sim1,CP,%,0008Q2,10,-0.15420064340389672
Sim1,CP,%,0008Q3,11,-0.18833502862905505
Sim1,CP,%,0008Q4,12,-0.22164533284218635
Sim1,CP,%,0009Q1,13,-0.25310367661403177
Sim1,CP,%,0009Q2,14,-0.2820949556215453
Sim1,CP,%,0009Q3,15,-0.3082159366400816
Sim1,CP,%,0009Q4,16,-0.33126990531610545
Sim1,CP,%,0010Q1,17,-0.35121713869489213
Sim1,CP,%,0010Q2,18,-0.3681307021080329
Sim1,CP,%,0010Q3,19,-0.3821611164073744
Sim1,CP,%,0010Q4,20,-0.39344663446574657
Sim1,INV,%,0006Q1,1,0.2316778556058523
Sim1,INV,%,0006Q2,2,0.6380694845118597
Sim1,INV,%,0006Q3,3,0.9071679004402142
Sim1,INV,%,0006Q4,4,1.0399205426917035
Sim1,INV,%,0007Q1,5,0.84515798394645
Sim1,INV,%,0007Q2,6,0.6082369829029091
Sim1,INV,%,0007Q3,7,0.40921107899629305
Sim1,INV,%,0007Q4,8,0.2603637586394285
Sim1,INV,%,0008Q1,9,0.1500972074721716
Sim1,INV,%,0008Q2,10,0.06711531325917974
Sim1,INV,%,0008Q3,11,0.0038609581294508644
Sim1,INV,%,0008Q4,12,-0.044994822742694396
Sim1,INV,%,0009Q1,13,-0.08379809519831838
Sim1,INV,%,0009Q2,14,-0.11506224326903691
Sim1,INV,%,0009Q3,15,-0.14055515869348767
Sim1,INV,%,0009Q4,16,-0.16137876690048358
Sim1,INV,%,0010Q1,17,-0.1782558721685632
Sim1,INV,%,0010Q2,18,-0.19160183474453163
Sim1,INV,%,0010Q3,19,-0.2014263559088647
Sim1,INV,%,0010Q4,20,-0.20787576731281376
Sim1,EX,%,0006Q1,1,3.6545265545718735
Sim1,EX,%,0006Q2,2,4.067199365145612
Sim1,EX,%,0006Q3,3,3.514639202677202
Sim1,EX,%,0006Q4,4,2.878772405494118
Sim1,EX,%,0007Q1,5,2.383519872468682
Sim1,EX,%,0007Q2,6,2.0459590049189984
Sim1,EX,%,0007Q3,7,1.8200465877384033
Sim1,EX,%,0007Q4,8,1.6718686299212777
Sim1,EX,%,0008Q1,9,1.5808860449955517
Sim1,EX,%,0008Q2,10,1.526835053759143
Sim1,EX,%,0008Q3,11,1.497590720141332
Sim1,EX,%,0008Q4,12,1.4840466902804792
Sim1,EX,%,0009Q1,13,1.4808967958584276
